year,emp_rate_f,emp_rate_m
1991,50.8,90.9
1992,51.9,90
1993,51.5,90.3
1994,52.5,90.8
1996,55.4,90.6
1997,55.5,90.7
1998,56.2,89.9
1999,56.3,88.3
2001,58.8,89.1
2002,57.3,87.3
2003,57.7,86.4
2004,58.5,86.5
2006,62.6,89.1
2007,63.7,89.8
2008,65.1,89.4
2009,63.9,88.3
2010,66.1,88.8
2011,67.4,89.1
2012,68.5,89.7
2013,69.2,89.3
2014,70.5,89.3
2015,71.8,89.8
2016,72.1,89
2017,72.4,89.4
2018,72.3,88.9
2019,73.3,88.8
2020,73.2,87.9
2021,75.1,88.9
2022,76.2,89.6
2023,76.6,89
