Year,Government Development,Grants & Capital injections to Organisations,Expenditure on Manpower,"Grants, Subventions & Capital Injections to Organisations",Other Operating Expenditure,International Organisations & Overseas Development Assistance,Social Transfers,Transfers to Institutions & Organisations
1997,5326,3637,3063,2378,7586,0,200,853
1998,6981,5301,2896,2248,8215,0,228,1064
1999,6369,3842,2872,2247,8469,0,295,983
2000,5464,4029,3276,3031,8740,0,309,3058
2001,4503,4266,3351,3735,9302,0,394,1754
2002,3962,3831,3370,3858,9824,0,491,1817
2003,4221,4287,3375,4042,9878,0,457,2240
2004,4349,4252,3535,4039,10222,0,485,2073
2005,3522,3667,3629,4244,11001,106,546,1918
2006,2760,3220,3914,3918,11835,106,611,3542
2007,3086,3944,4736,4211,12763,107,665,3470
2008,3285,6072,4677,4868,13537,119,1134,4398
2009,4309,6673,4765,5493,13974,137,1409,5131
2010,4529,7538,5857,5986,14067,136,1483,5742
2011,4388,7025,5668,6747,14318,105,1690,6622
2012,4760,7823,6231,6654,14644,109,1910,6871
2013,4045,7958,6844,7066,15216,171,2382,8046
2014,4654,9309,7409,7916,16097,123,2543,8596
2015,5133,14223,8010,9419,17505,175,3093,9889
2016,6268,12648,8345,10558,18389,205,4124,10509
2017,6105,11870,8865,12560,18897,226,4046,10988
2018,5852,14411,9227,13042,19615,175,3916,11584
2019,6191,10480,8946,13447,20264,163,3972,11876
2020,4696,8733,8804,17514,24875,206,6395,15142
2021,6118,10135,9828,21042,25337,182,5637,16516
2022,6843,13575,10381,24615,26538,184,4863,17858
2023,9236,12249,10517,22650,27936,208,5041,17476
2024,10369,12990,11265,24807,29712,155,5340,18274
